브랜드,제품군,시리얼넘버,RAM,상품명,화면 크기,해상도,CPU 모델,밝기,주사율,CPU 브랜드,CPU 클럭,GPU 타입,GPU 카드,GPU 코어 수,저장 용량,배터리,무게,os,용도
삼성전자,2018 노트북9 Always,NT900X5N-K37S,8GB,삼성전자 2018 노트북9 Always NT900X5N-K37S,15인치,1920x1080,i3-7100U,정보없음,정보없음,정보없음,2.4GHz,정보없음,정보없음,1,256GB,30Wh,980g,윈도우10,"['사무/인강용', '휴대용/색상: 실버 2018.01. 상품리뷰 4.9']"
LG전자,2019 그램,15ZD990-VX50K,8GB,LG전자 2019 그램 15ZD990-VX50K,15.6인치,1920x1080,i5-8265U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD 620,1,256GB,72Wh,1.09kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2019 그램,17Z990-VA76K,16GB,LG전자 2019 그램 17Z990-VA76K,17인치,2560x1600,i7-8565U,정보없음,정보없음,인텔,1.8GHz,내장그래픽,UHD 620,1,512GB,72Wh,1.34kg,윈도우10,"['사무/인강용', '휴대용']"
삼성전자,2019 노트북 Pen S,NT950SBE-X716A,16GB,삼성전자 2019 노트북 Pen S NT950SBE-X716A,15인치,1920x1080,i7-8565U,정보없음,정보없음,정보없음,1.8GHz,정보없음,정보없음,1,256GB,54Wh,1.56kg,윈도우10,['그래픽작업용/S펜 빌트인/색상: 블루 2019 삼성 노트북 Pen S 인포그래픽 2018.12. 상품리뷰']
삼성전자,2019 노트북 Pen S,NT950SBE-K38,8GB,삼성전자 2019 노트북 Pen S NT950SBE-K38,15인치,1920x1080,i3-8145U,정보없음,정보없음,정보없음,2.1GHz,정보없음,정보없음,1,256GB,54Wh,1.49kg,윈도우10,"['사무/인강용', '휴대용/S펜 빌트인/색상: 블루 2019 삼성 노트북 Pen S 인포그래픽 2018.12. 상품리뷰']"
삼성전자,2019 노트북 Pen S,NT950SBE-X58A,8GB,삼성전자 2019 노트북 Pen S NT950SBE-X58A,15인치,1920x1080,i5-8265U,정보없음,정보없음,정보없음,1.6GHz,정보없음,정보없음,1,256GB,54Wh,1.56kg,윈도우10,['그래픽작업용/S펜 빌트인/색상: 블루 2019 삼성 노트북 Pen S 인포그래픽 2018.12. 상품리뷰']
삼성전자,2019 노트북 Pen S,NT950SBE-X58D,8GB,삼성전자 2019 노트북 Pen S NT950SBE-X58D,15인치,1920x1080,i5-8265U,정보없음,정보없음,정보없음,1.6GHz,정보없음,정보없음,1,256GB,54Wh,1.56kg,윈도우10,['그래픽작업용/UFS 지원/S펜 빌트인/색상: 블루 2020.02.']
삼성전자,2019 노트북 Pen S,NT950SBE-K58W,8GB,삼성전자 2019 노트북 Pen S NT950SBE-K58W,15인치,1920x1080,i5-8265U,정보없음,정보없음,정보없음,1.6GHz,정보없음,정보없음,1,256GB,54Wh,1.51kg,윈도우10,['사무/인강용/S펜 빌트인/색상: 화이트 2019 삼성 노트북 Pen S 인포그래픽 2019.01. 상품리뷰']
LG전자,2019 울트라PC,15U590-GA56K,정보없음,LG전자 2019 울트라PC 15U590-GA56K,15.6인치,1920x1080,i5-8265U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD 620,1,정보없음,정보없음,1.75kg,윈도우10,[]
LG전자,2020 그램15,15ZD90N-VX50K,8GB,LG전자 2020 그램15 15ZD90N-VX50K,15.6인치,1920x1080,i5-1035G,정보없음,정보없음,인텔,1.2GHz,내장그래픽,Iris Plus,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2020 그램15,15ZB995-GP70ML,8GB,LG전자 2020 그램15 15ZB995-GP70ML,15.6인치,1920x1080,i7-10510U,정보없음,정보없음,인텔,1.8GHz,내장그래픽,UHD Graphics,1,256GB,72Wh,1.099kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2020 그램15,15ZD90N-VX70K,8GB,LG전자 2020 그램15 15ZD90N-VX70K,15.6인치,1920x1080,i7-1065G,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Plus,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2020 그램15,15Z995-VP50ML,8GB,LG전자 2020 그램15 15Z995-VP50ML,15.6인치,1920x1080,i5-10210U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD Graphics,1,256GB,72Wh,1.099kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2020 그램15,15Z995-VR50K,8GB,LG전자 2020 그램15 15Z995-VR50K,15.6인치,1920x1080,i5-10210U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD Graphics,1,256GB,72Wh,1.099kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2020 그램17,17Z90N-VA76K,16GB,LG전자 2020 그램17 17Z90N-VA76K,17인치,2560x1600,i7-1065G,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Plus,1,512GB,80Wh,1.35kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2020 울트라PC,15UD40N-GX56K,8GB,LG전자 2020 울트라PC 15UD40N-GX56K,15.6인치,1920x1080,4500U,정보없음,정보없음,AMD,2.3GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,정보없음,['사무/인강용']
